2009
Feb 1   - sweet and sour raspberry liqueur (Mortay, ~3)
Feb 15  - coors light (3), svedka (3), buena vista carneros pinot noir (1, Keshuv)
Feb 17  - buena vista carneros pinot noir (1)
Feb 19  - buena vista carneros pinot noir (.5)
Feb 22  - sailor jerry (1), crown royal (3.5), bacardi (2), korbel champagne (1), bud light (2)
Mar 1   - pinnacle cotton candy (1)
Mar 11  - anchor steam (.3)
Mar 15  - coors light (2), blue raspberry four loko (.5)
Mar 16  - coors light (1), tecate (2), watermelon smirnoff (1), kahlua (2)
Mar 22  - baileys (1), blue moon (1)
Mar 26  - newcastle brown ale (3), blue moon (1)
Apr 2   - west coast ipa (1), red trolley (1), stone levitation (1), coors light (5)
Apr 4   - bogle chardonnay (1), hefeweizen (1), brown ale (1)
Apr 5   - bogle chardonnay (1), corona (1)
Apr 13  - strawberry mike's (2)
Apr 19* - four loko (1), smirnoff (1), coors/miller (3), london dry gin (1), uv vodka (1), WEED
Apr 20  - cranberry mike's (1)
May 3   - black crown bud (2), pbr (2), jim beam bourbon (1)
May 4   - strawberry mike's (1)
May 5   - andre champagne (2)
May 8   - moscato (3)
May 13  - moscato (3), racer 5 (1), whiskey orange (1), guiness, baileys (sip)
May 15  - blue moon (1), baileys (2)
May 16  - blue moon (2), nero d'avola (5), baileys (1)
May 17  - sierra nevada (1), jagerbomb (1)
May 21  - sierra nevada (1.5)
May 22  - hefeweizen (1)
May 23  - pyramid hefeweizen (1)
May 24  - shock top (.5), pbr (2.5), jager (4)
May 26  - hypnotic liqueur (2, 17%), chardonnay (1)
May 27  - pinot grigio (1)
May 28  - corona extra (2)
May 31  - steel reserve (40 oz), miller lite (1)
Jun 1   - barefoot riesling (1), london dry gin and tonic (2, 2 gin each), rockstar jagerbomb (2)
Jun 2   - gin and tonic (1)
Jun 4   - corona extra (1)
Jun 14  - merlot (2)
Jun 19  - blanche de bruxelles (1)
Jun 24  - margarita (1)
Jul 2   - coors (2)
Jul 30  - chianti (1)
Aug 3   - fat tire (3)
Sep 1   - blue moon (1)
Sep 13  - smirnoff ice mango (1, Viet)
Sep 15  - longboard island lager (1.5), jack daniels tennessee honey in dr pepper (4), barefoot riesling (2)
Sep 17  - hoegaarden (1), longboard island lager (1)
Sep 20  - chardonnay (1), white zinfandel (1), shiraz (1), svedka (2), shock top (3)
Sep 25  - bogle cabernet sauvignon (1), stella artois (1.5), jager (3), coors (2)
Sep 26  - sierra nevada kellerweis (2)
Sep 27  - pbr (2)
Sep 28  - leyenda del milagro tequila in lemonade (1), champagne (2), kirin ichiban (1), red wine (1), sake (sip)
Sep 29  - shock top (4), flore de moscato (1), firestone union jack ipa (1)
Oct 1   - margarita (1)
Oct 3   - bogle chardonnay (1)
Oct 4   - newcastle (2), charles shaw (1), blue moon (1), bombay sapphire gin and tonic (1), disaronno (1), barefoot moscato (2), sam adams octoberfest (1)
Oct 5   - mojito (2, 2 bacardi each), margarita (2, 1 tequila each), belgian ipa (sip), rum and coke (2), WEED
Oct 17  - dry white wine (1)
Oct 19  - pipeline (1)
Oct 25  - coors (1)
Oct 29  - margarita (2), tequila (1)
Nov 1   - captain morgan in juice (12), bourbon (6), tennessee honey (2) (european)
Nov 8   - newcastle (2)
Nov 9   - corona (2)
Nov 10  - carnivore cab sav (1), anchor steam (1), blue moon (1)
Nov 15  - coors light (1)
Nov 16  - white zin (1), chablis blanc (3), rolling rock (1), jagerbomb (1), blue moon (1)
Nov 22  - sutter home moscato (1), bud light (3)
Nov 23  - gallo family sauvingnon blanc (3), beck's sapphire (1), cranberry lime smirnoff ice (1)
Nov 28  - buehler cab sav (2)
Nov 30  - dos equis (3)
Dec 10  - malibu (1), beck's sapphire (4), rolling rock (.5), vodka and lemonade (sip), CIGAR
Dec 13  - pipeline (1), heineken (1)
Dec 16  - geyser peak merlot (2), laraneta vera sano rose (1)
Dec 18  - dos equis (1)
Dec 19  - sauvingnon blanc (5), 1800 tequila (1)


2014
